@relation snake_game-weka.filters.unsupervised.instance.Randomize-S42

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute snake_pos_x_next numeric
@attribute snake_pos_y_next numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute next_manhattan_distance numeric
@attribute large_snake numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute score numeric
@attribute next_score numeric
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
450,90,440,90,370,230,DOWN,LEFT,220,210,50,True,True,True,False,2740,2739,True,False,UP,LEFT
280,230,290,230,460,190,UP,RIGHT,220,210,20,True,False,True,True,973,972,False,False,RIGHT,RIGHT
40,90,30,90,10,110,DOWN,LEFT,50,40,28,False,True,True,True,1483,1482,False,False,LEFT,LEFT
130,10,130,0,420,20,EQUAL,EQUAL,300,310,4,True,True,True,False,64,63,True,False,UP,UP
370,180,370,190,370,230,DOWN,EQUAL,50,40,50,True,True,False,True,2707,2706,False,False,DOWN,DOWN
120,410,110,410,30,410,EQUAL,LEFT,90,80,41,False,True,True,False,2292,2291,True,True,LEFT,LEFT
180,50,190,50,130,10,UP,LEFT,90,100,3,True,False,True,True,-8,-9,False,False,RIGHT,RIGHT
340,290,340,280,170,100,UP,LEFT,360,350,6,True,True,True,False,195,194,True,False,UP,UP
30,310,40,310,430,320,DOWN,RIGHT,410,400,46,True,True,False,True,2534,2533,True,True,DOWN,RIGHT
70,120,70,110,100,10,UP,RIGHT,140,130,10,True,True,True,False,345,344,True,False,UP,UP
270,280,270,270,40,210,UP,LEFT,300,290,45,True,True,True,False,2474,2473,False,False,UP,UP
140,450,130,450,210,440,UP,RIGHT,80,90,44,False,True,True,True,2449,2448,False,False,LEFT,LEFT
300,430,310,430,360,430,EQUAL,RIGHT,60,50,56,True,False,False,True,3061,3060,False,False,RIGHT,RIGHT
220,110,220,120,30,440,DOWN,LEFT,520,510,12,True,True,False,True,481,480,False,False,DOWN,DOWN
90,400,100,400,160,410,DOWN,RIGHT,80,70,54,True,False,True,True,2975,2974,True,True,RIGHT,RIGHT
450,270,450,280,280,210,EQUAL,EQUAL,230,240,17,True,True,False,True,797,796,False,False,DOWN,DOWN
380,0,390,0,420,20,DOWN,RIGHT,60,50,4,True,False,False,True,38,0,False,False,RIGHT,RIGHT
330,230,340,230,460,190,UP,RIGHT,170,160,20,True,False,True,True,968,967,False,False,RIGHT,RIGHT
290,170,290,160,290,50,UP,EQUAL,120,110,42,True,True,True,False,2334,2333,False,False,UP,UP
40,390,40,400,40,400,DOWN,EQUAL,10,0,39,True,True,False,True,2174,2274,True,False,DOWN,DOWN
50,300,60,300,290,50,UP,RIGHT,490,480,42,True,False,True,True,2371,2370,False,False,RIGHT,RIGHT
220,440,230,440,350,310,UP,RIGHT,260,250,23,True,False,True,True,1167,1166,False,False,RIGHT,RIGHT
120,70,130,70,220,70,EQUAL,RIGHT,100,90,29,True,False,True,True,1542,1541,False,False,RIGHT,RIGHT
310,0,320,0,420,20,DOWN,RIGHT,130,120,4,True,False,False,True,45,0,False,False,RIGHT,RIGHT
180,230,180,240,180,360,DOWN,EQUAL,130,120,53,True,True,False,True,2908,2907,True,False,DOWN,DOWN
60,280,50,280,30,410,DOWN,LEFT,160,150,41,False,True,True,True,2327,2326,True,False,LEFT,LEFT
320,380,320,370,320,270,UP,EQUAL,110,100,26,True,True,True,False,1348,1347,True,False,UP,UP
450,110,450,120,120,80,UP,LEFT,360,370,61,True,True,False,True,3361,3360,True,True,DOWN,DOWN
320,200,320,190,310,120,UP,LEFT,90,80,48,True,True,True,False,2628,2627,False,False,UP,UP
170,330,160,330,20,330,EQUAL,LEFT,150,140,33,False,True,True,True,1799,1798,False,False,LEFT,LEFT
40,30,50,30,220,70,DOWN,RIGHT,220,210,29,True,False,True,True,1554,1553,True,False,RIGHT,RIGHT
130,220,130,210,130,70,UP,EQUAL,150,140,13,True,False,True,True,498,497,False,False,RIGHT,UP
210,280,200,280,180,280,EQUAL,LEFT,30,20,24,False,True,True,True,1225,1224,True,False,LEFT,LEFT
380,180,380,170,440,80,UP,RIGHT,160,150,60,True,True,True,False,3280,3279,True,False,UP,UP
220,10,230,10,400,20,DOWN,RIGHT,190,180,8,True,False,True,True,261,260,False,False,RIGHT,RIGHT
150,420,140,420,160,410,UP,RIGHT,20,30,54,False,True,True,True,2987,2986,True,False,LEFT,LEFT
30,90,20,90,10,110,DOWN,LEFT,40,30,28,False,True,True,True,1482,1481,False,False,LEFT,LEFT
270,430,270,420,40,210,UP,LEFT,450,440,45,True,True,True,False,2489,2488,False,False,UP,UP
270,20,270,30,400,20,EQUAL,RIGHT,130,140,8,True,True,False,True,255,254,False,False,DOWN,DOWN
140,150,140,140,260,150,EQUAL,RIGHT,120,130,15,True,True,True,False,640,639,True,False,UP,UP
460,130,460,120,460,20,UP,EQUAL,110,100,18,True,True,True,False,843,842,False,False,UP,UP
120,210,110,210,40,210,EQUAL,LEFT,80,70,45,False,True,True,True,2452,2451,True,False,LEFT,LEFT
240,10,230,10,190,190,DOWN,LEFT,230,220,19,False,True,True,True,910,909,False,False,LEFT,LEFT
370,230,380,230,460,190,UP,RIGHT,130,120,20,True,False,True,True,964,963,False,False,RIGHT,RIGHT
160,360,160,350,390,80,UP,RIGHT,510,500,55,True,True,True,False,3063,3062,False,False,UP,UP
70,30,60,30,60,180,DOWN,LEFT,160,150,14,False,True,True,True,574,573,False,False,LEFT,LEFT
390,450,380,450,280,450,EQUAL,LEFT,110,100,47,False,True,True,True,2577,2576,False,False,LEFT,LEFT
160,90,160,100,160,420,DOWN,EQUAL,330,320,43,True,True,False,True,2402,2401,True,False,DOWN,DOWN
100,420,100,430,110,440,DOWN,RIGHT,30,20,22,True,True,False,True,1080,1079,False,False,DOWN,DOWN
390,400,390,410,360,430,DOWN,LEFT,60,50,56,True,True,False,True,3075,3074,False,False,DOWN,DOWN
320,220,320,210,120,50,UP,LEFT,370,360,27,True,True,True,False,1433,1432,True,False,UP,UP
160,150,160,140,390,80,UP,RIGHT,300,290,55,True,True,True,False,3042,3041,False,False,UP,UP
120,370,110,370,100,370,EQUAL,LEFT,20,10,9,False,True,True,True,274,273,True,False,LEFT,LEFT
120,100,110,100,100,10,UP,LEFT,110,100,10,True,True,False,True,318,317,True,False,DOWN,LEFT
330,280,320,280,180,280,EQUAL,LEFT,150,140,24,False,True,True,True,1237,1236,True,False,LEFT,LEFT
120,80,130,80,130,10,UP,RIGHT,80,70,3,True,True,False,True,-29,-30,True,False,DOWN,RIGHT
320,330,320,320,310,120,UP,LEFT,220,210,48,True,True,True,False,2641,2640,False,False,UP,UP
150,210,140,210,40,210,EQUAL,LEFT,110,100,45,False,True,True,True,2455,2454,True,False,LEFT,LEFT
320,450,320,440,320,270,UP,EQUAL,180,170,26,True,True,True,False,1355,1354,True,False,UP,UP
230,90,220,90,170,100,DOWN,LEFT,70,60,6,False,True,True,True,164,163,False,False,LEFT,LEFT
440,170,440,180,450,270,DOWN,RIGHT,110,100,16,True,True,False,True,707,706,False,False,DOWN,DOWN
380,230,380,220,380,200,UP,EQUAL,30,20,59,True,True,True,False,3184,3183,True,False,UP,UP
420,240,430,240,370,230,UP,LEFT,60,70,50,True,False,True,True,2758,2757,True,False,RIGHT,RIGHT
110,70,120,70,220,70,EQUAL,RIGHT,110,100,29,True,False,True,True,1543,1542,False,False,RIGHT,RIGHT
430,400,430,390,40,240,UP,LEFT,550,540,57,True,True,True,False,3146,3145,True,False,UP,UP
450,300,440,300,280,210,UP,LEFT,260,250,17,True,True,False,True,794,793,False,False,DOWN,LEFT
270,280,260,280,180,280,EQUAL,LEFT,90,80,24,False,True,True,True,1231,1230,True,False,LEFT,LEFT
410,90,400,90,370,230,DOWN,LEFT,180,170,50,False,True,True,True,2736,2735,True,False,LEFT,LEFT
450,190,450,200,120,80,UP,LEFT,440,450,61,True,True,False,True,3353,3352,True,False,DOWN,DOWN
70,210,70,200,100,10,UP,RIGHT,230,220,10,True,True,True,False,354,353,True,False,UP,UP
320,30,330,30,400,20,UP,RIGHT,90,80,8,True,False,True,True,249,248,False,False,RIGHT,RIGHT
180,310,180,320,180,360,DOWN,EQUAL,50,40,53,True,True,False,True,2900,2899,True,False,DOWN,DOWN
190,420,190,430,210,440,DOWN,RIGHT,40,30,44,True,True,False,True,2399,2398,True,False,DOWN,DOWN
270,0,280,0,420,20,DOWN,RIGHT,170,160,4,True,False,False,True,49,0,False,False,RIGHT,RIGHT
180,90,180,100,180,360,DOWN,EQUAL,270,260,53,True,True,False,True,2922,2921,True,True,DOWN,DOWN
430,330,440,330,440,370,DOWN,RIGHT,50,40,37,True,False,True,True,2083,2082,False,False,RIGHT,RIGHT
180,0,190,0,420,20,DOWN,RIGHT,260,250,4,True,False,False,True,58,0,False,False,RIGHT,RIGHT
140,220,140,230,160,420,DOWN,RIGHT,220,210,43,True,True,False,True,2387,2386,False,False,DOWN,DOWN
