@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17'

@attribute snake_pos_x {'\'(-inf-56]\'','\'(56-102]\'','\'(102-148]\'','\'(148-194]\'','\'(194-240]\'','\'(240-286]\'','\'(286-332]\'','\'(332-378]\'','\'(378-424]\'','\'(424-inf)\''}
@attribute snake_pos_y {'\'(-inf-47]\'','\'(47-94]\'','\'(94-141]\'','\'(141-188]\'','\'(188-235]\'','\'(235-282]\'','\'(282-329]\'','\'(329-376]\'','\'(376-423]\'','\'(423-inf)\''}
@attribute food_pos_x {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_pos_y {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance {'\'(-inf-78]\'','\'(78-146]\'','\'(146-214]\'','\'(214-282]\'','\'(282-350]\'','\'(350-418]\'','\'(418-486]\'','\'(486-554]\'','\'(554-622]\'','\'(622-inf)\''}
@attribute large_snake {'\'(-inf-8.8]\'','\'(8.8-14.6]\'','\'(14.6-20.4]\'','\'(20.4-26.2]\'','\'(26.2-32]\'','\'(32-37.8]\'','\'(37.8-43.6]\'','\'(43.6-49.4]\'','\'(49.4-55.2]\'','\'(55.2-inf)\''}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
'\'(286-332]\'','\'(47-94]\'','\'(100-145]\'','\'(-inf-55]\'',UP,LEFT,'\'(214-282]\'','\'(26.2-32]\'',True,True,True,False,True,False,UP,UP
'\'(148-194]\'','\'(188-235]\'','\'(370-415]\'','\'(55-100]\'',UP,RIGHT,'\'(350-418]\'','\'(49.4-55.2]\'',True,True,True,False,False,False,UP,UP
'\'(240-286]\'','\'(423-inf)\'','\'(235-280]\'','\'(370-415]\'',UP,EQUAL,'\'(-inf-78]\'','\'(32-37.8]\'',True,True,True,False,True,False,UP,UP
'\'(240-286]\'','\'(376-423]\'','\'(280-325]\'','\'(100-145]\'',UP,RIGHT,'\'(282-350]\'','\'(43.6-49.4]\'',True,False,True,True,True,True,RIGHT,RIGHT
'\'(-inf-56]\'','\'(141-188]\'','\'(370-415]\'','\'(-inf-55]\'',UP,RIGHT,'\'(486-554]\'','\'(-inf-8.8]\'',True,True,True,False,True,False,UP,UP
'\'(102-148]\'','\'(235-282]\'','\'(100-145]\'','\'(55-100]\'',UP,RIGHT,'\'(146-214]\'','\'(8.8-14.6]\'',True,True,True,False,False,False,UP,UP
'\'(424-inf)\'','\'(188-235]\'','\'(415-inf)\'','\'(235-280]\'',DOWN,RIGHT,'\'(78-146]\'','\'(14.6-20.4]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(286-332]\'','\'(329-376]\'','\'(55-100]\'','\'(-inf-55]\'',UP,LEFT,'\'(486-554]\'','\'(49.4-55.2]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(378-424]\'','\'(423-inf)\'','\'(370-415]\'','\'(190-235]\'',UP,EQUAL,'\'(214-282]\'','\'(55.2-inf)\'',True,True,True,False,True,True,UP,UP
'\'(148-194]\'','\'(47-94]\'','\'(145-190]\'','\'(55-100]\'',EQUAL,RIGHT,'\'(-inf-78]\'','\'(8.8-14.6]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(102-148]\'','\'(47-94]\'','\'(235-280]\'','\'(145-190]\'',DOWN,RIGHT,'\'(214-282]\'','\'(26.2-32]\'',True,True,True,False,True,False,UP,UP
'\'(194-240]\'','\'(329-376]\'','\'(-inf-55]\'','\'(370-415]\'',DOWN,LEFT,'\'(214-282]\'','\'(37.8-43.6]\'',True,True,True,False,True,False,UP,UP
'\'(-inf-56]\'','\'(94-141]\'','\'(370-415]\'','\'(-inf-55]\'',UP,RIGHT,'\'(418-486]\'','\'(-inf-8.8]\'',True,True,True,False,True,False,UP,UP
'\'(378-424]\'','\'(141-188]\'','\'(370-415]\'','\'(145-190]\'',EQUAL,LEFT,'\'(-inf-78]\'','\'(43.6-49.4]\'',True,True,False,True,False,False,DOWN,DOWN
'\'(-inf-56]\'','\'(47-94]\'','\'(370-415]\'','\'(-inf-55]\'',UP,RIGHT,'\'(350-418]\'','\'(-inf-8.8]\'',True,True,True,False,True,False,UP,UP
'\'(-inf-56]\'','\'(329-376]\'','\'(190-235]\'','\'(415-inf)\'',DOWN,RIGHT,'\'(214-282]\'','\'(43.6-49.4]\'',True,True,True,False,True,False,UP,UP
'\'(286-332]\'','\'(188-235]\'','\'(-inf-55]\'','\'(370-415]\'',DOWN,LEFT,'\'(418-486]\'','\'(37.8-43.6]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(56-102]\'','\'(-inf-47]\'','\'(145-190]\'','\'(55-100]\'',DOWN,RIGHT,'\'(146-214]\'','\'(8.8-14.6]\'',False,True,True,True,False,False,LEFT,DOWN
'\'(148-194]\'','\'(423-inf)\'','\'(235-280]\'','\'(370-415]\'',UP,RIGHT,'\'(146-214]\'','\'(32-37.8]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(424-inf)\'','\'(141-188]\'','\'(415-inf)\'','\'(-inf-55]\'',UP,RIGHT,'\'(146-214]\'','\'(14.6-20.4]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(102-148]\'','\'(47-94]\'','\'(100-145]\'','\'(55-100]\'',UP,EQUAL,'\'(-inf-78]\'','\'(8.8-14.6]\'',True,True,True,False,False,False,UP,UP
'\'(286-332]\'','\'(329-376]\'','\'(370-415]\'','\'(235-280]\'',UP,RIGHT,'\'(146-214]\'','\'(37.8-43.6]\'',True,True,True,False,True,True,UP,RIGHT
'\'(378-424]\'','\'(235-282]\'','\'(325-370]\'','\'(190-235]\'',UP,LEFT,'\'(-inf-78]\'','\'(49.4-55.2]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(56-102]\'','\'(282-329]\'','\'(280-325]\'','\'(-inf-55]\'',UP,RIGHT,'\'(418-486]\'','\'(37.8-43.6]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(194-240]\'','\'(141-188]\'','\'(235-280]\'','\'(145-190]\'',UP,RIGHT,'\'(-inf-78]\'','\'(26.2-32]\'',False,True,True,True,False,False,LEFT,LEFT
'\'(286-332]\'','\'(329-376]\'','\'(415-inf)\'','\'(325-370]\'',DOWN,RIGHT,'\'(146-214]\'','\'(32-37.8]\'',True,False,True,True,False,False,RIGHT,RIGHT
'\'(148-194]\'','\'(376-423]\'','\'(190-235]\'','\'(325-370]\'',UP,RIGHT,'\'(78-146]\'','\'(37.8-43.6]\'',True,False,True,True,True,False,RIGHT,RIGHT
'\'(424-inf)\'','\'(188-235]\'','\'(100-145]\'','\'(55-100]\'',UP,LEFT,'\'(418-486]\'','\'(55.2-inf)\'',True,True,False,True,True,False,DOWN,DOWN
