@relation snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute snake_pos_x {'\'(-inf-56]\'','\'(56-102]\'','\'(102-148]\'','\'(148-194]\'','\'(194-240]\'','\'(240-286]\'','\'(286-332]\'','\'(332-378]\'','\'(378-424]\'','\'(424-inf)\''}
@attribute snake_pos_y {'\'(-inf-47]\'','\'(47-94]\'','\'(94-141]\'','\'(141-188]\'','\'(188-235]\'','\'(235-282]\'','\'(282-329]\'','\'(329-376]\'','\'(376-423]\'','\'(423-inf)\''}
@attribute snake_pos_x_next {'\'(-inf-57]\'','\'(57-104]\'','\'(104-151]\'','\'(151-198]\'','\'(198-245]\'','\'(245-292]\'','\'(292-339]\'','\'(339-386]\'','\'(386-433]\'','\'(433-inf)\''}
@attribute snake_pos_y_next {'\'(-inf-47]\'','\'(47-94]\'','\'(94-141]\'','\'(141-188]\'','\'(188-235]\'','\'(235-282]\'','\'(282-329]\'','\'(329-376]\'','\'(376-423]\'','\'(423-inf)\''}
@attribute food_pos_x {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_pos_y {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance {'\'(-inf-78]\'','\'(78-146]\'','\'(146-214]\'','\'(214-282]\'','\'(282-350]\'','\'(350-418]\'','\'(418-486]\'','\'(486-554]\'','\'(554-622]\'','\'(622-inf)\''}
@attribute next_manhattan_distance {'\'(-inf-69]\'','\'(69-138]\'','\'(138-207]\'','\'(207-276]\'','\'(276-345]\'','\'(345-414]\'','\'(414-483]\'','\'(483-552]\'','\'(552-621]\'','\'(621-inf)\''}
@attribute large_snake {'\'(-inf-8.8]\'','\'(8.8-14.6]\'','\'(14.6-20.4]\'','\'(20.4-26.2]\'','\'(26.2-32]\'','\'(32-37.8]\'','\'(37.8-43.6]\'','\'(43.6-49.4]\'','\'(49.4-55.2]\'','\'(55.2-inf)\''}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute score {'\'(-inf-304.1]\'','\'(304.1-644.2]\'','\'(644.2-984.3]\'','\'(984.3-1324.4]\'','\'(1324.4-1664.5]\'','\'(1664.5-2004.6]\'','\'(2004.6-2344.7]\'','\'(2344.7-2684.8]\'','\'(2684.8-3024.9]\'','\'(3024.9-inf)\''}
@attribute next_score {'\'(-inf-304.1]\'','\'(304.1-644.2]\'','\'(644.2-984.3]\'','\'(984.3-1324.4]\'','\'(1324.4-1664.5]\'','\'(1664.5-2004.6]\'','\'(2004.6-2344.7]\'','\'(2344.7-2684.8]\'','\'(2684.8-3024.9]\'','\'(3024.9-inf)\''}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
'\'(424-inf)\'','\'(47-94]\'','\'(433-inf)\'','\'(47-94]\'','\'(325-370]\'','\'(190-235]\'',DOWN,LEFT,'\'(214-282]\'','\'(207-276]\'','\'(49.4-55.2]\'',True,True,True,False,'\'(2684.8-3024.9]\'','\'(2684.8-3024.9]\'',True,False,UP,LEFT
'\'(240-286]\'','\'(188-235]\'','\'(245-292]\'','\'(188-235]\'','\'(415-inf)\'','\'(145-190]\'',UP,RIGHT,'\'(214-282]\'','\'(207-276]\'','\'(14.6-20.4]\'',True,False,True,True,'\'(644.2-984.3]\'','\'(644.2-984.3]\'',False,False,RIGHT,RIGHT
'\'(-inf-56]\'','\'(47-94]\'','\'(-inf-57]\'','\'(47-94]\'','\'(-inf-55]\'','\'(100-145]\'',DOWN,LEFT,'\'(-inf-78]\'','\'(-inf-69]\'','\'(26.2-32]\'',False,True,True,True,'\'(1324.4-1664.5]\'','\'(1324.4-1664.5]\'',False,False,LEFT,LEFT
'\'(102-148]\'','\'(-inf-47]\'','\'(104-151]\'','\'(-inf-47]\'','\'(415-inf)\'','\'(-inf-55]\'',EQUAL,EQUAL,'\'(282-350]\'','\'(276-345]\'','\'(-inf-8.8]\'',True,True,True,False,'\'(-inf-304.1]\'','\'(-inf-304.1]\'',True,False,UP,UP
'\'(332-378]\'','\'(141-188]\'','\'(339-386]\'','\'(188-235]\'','\'(325-370]\'','\'(190-235]\'',DOWN,EQUAL,'\'(-inf-78]\'','\'(-inf-69]\'','\'(49.4-55.2]\'',True,True,False,True,'\'(2684.8-3024.9]\'','\'(2684.8-3024.9]\'',False,False,DOWN,DOWN
'\'(102-148]\'','\'(376-423]\'','\'(104-151]\'','\'(376-423]\'','\'(-inf-55]\'','\'(370-415]\'',EQUAL,LEFT,'\'(78-146]\'','\'(69-138]\'','\'(37.8-43.6]\'',False,True,True,False,'\'(2004.6-2344.7]\'','\'(2004.6-2344.7]\'',True,True,LEFT,LEFT
'\'(148-194]\'','\'(47-94]\'','\'(151-198]\'','\'(47-94]\'','\'(100-145]\'','\'(-inf-55]\'',UP,LEFT,'\'(78-146]\'','\'(69-138]\'','\'(-inf-8.8]\'',True,False,True,True,'\'(-inf-304.1]\'','\'(-inf-304.1]\'',False,False,RIGHT,RIGHT
'\'(332-378]\'','\'(282-329]\'','\'(339-386]\'','\'(235-282]\'','\'(145-190]\'','\'(55-100]\'',UP,LEFT,'\'(350-418]\'','\'(345-414]\'','\'(-inf-8.8]\'',True,True,True,False,'\'(-inf-304.1]\'','\'(-inf-304.1]\'',True,False,UP,UP
'\'(-inf-56]\'','\'(282-329]\'','\'(-inf-57]\'','\'(282-329]\'','\'(415-inf)\'','\'(280-325]\'',DOWN,RIGHT,'\'(350-418]\'','\'(345-414]\'','\'(43.6-49.4]\'',True,True,False,True,'\'(2344.7-2684.8]\'','\'(2344.7-2684.8]\'',True,True,DOWN,RIGHT
'\'(56-102]\'','\'(94-141]\'','\'(57-104]\'','\'(94-141]\'','\'(55-100]\'','\'(-inf-55]\'',UP,RIGHT,'\'(78-146]\'','\'(69-138]\'','\'(8.8-14.6]\'',True,True,True,False,'\'(304.1-644.2]\'','\'(304.1-644.2]\'',True,False,UP,UP
