@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-2,7-8,13-14'

@attribute food_pos_x {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_pos_y {'\'(-inf-55]\'','\'(55-100]\'','\'(100-145]\'','\'(145-190]\'','\'(190-235]\'','\'(235-280]\'','\'(280-325]\'','\'(325-370]\'','\'(370-415]\'','\'(415-inf)\''}
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
'\'(100-145]\'','\'(-inf-55]\'',UP,LEFT,True,True,True,False,UP,UP
'\'(370-415]\'','\'(55-100]\'',UP,RIGHT,True,True,True,False,UP,UP
'\'(235-280]\'','\'(370-415]\'',UP,EQUAL,True,True,True,False,UP,UP
'\'(280-325]\'','\'(100-145]\'',UP,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(370-415]\'','\'(-inf-55]\'',UP,RIGHT,True,True,True,False,UP,UP
'\'(100-145]\'','\'(55-100]\'',UP,RIGHT,True,True,True,False,UP,UP
'\'(415-inf)\'','\'(235-280]\'',DOWN,RIGHT,True,True,False,True,DOWN,DOWN
'\'(55-100]\'','\'(-inf-55]\'',UP,LEFT,False,True,True,True,LEFT,LEFT
'\'(370-415]\'','\'(190-235]\'',UP,EQUAL,True,True,True,False,UP,UP
'\'(145-190]\'','\'(55-100]\'',EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(235-280]\'','\'(145-190]\'',DOWN,RIGHT,True,True,True,False,UP,UP
'\'(-inf-55]\'','\'(370-415]\'',DOWN,LEFT,True,True,True,False,UP,UP
'\'(370-415]\'','\'(-inf-55]\'',UP,RIGHT,True,True,True,False,UP,UP
'\'(370-415]\'','\'(145-190]\'',EQUAL,LEFT,True,True,False,True,DOWN,DOWN
'\'(370-415]\'','\'(-inf-55]\'',UP,RIGHT,True,True,True,False,UP,UP
'\'(190-235]\'','\'(415-inf)\'',DOWN,RIGHT,True,True,True,False,UP,UP
'\'(-inf-55]\'','\'(370-415]\'',DOWN,LEFT,False,True,True,True,LEFT,LEFT
'\'(145-190]\'','\'(55-100]\'',DOWN,RIGHT,False,True,True,True,LEFT,DOWN
'\'(235-280]\'','\'(370-415]\'',UP,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(415-inf)\'','\'(-inf-55]\'',UP,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(100-145]\'','\'(55-100]\'',UP,EQUAL,True,True,True,False,UP,UP
'\'(370-415]\'','\'(235-280]\'',UP,RIGHT,True,True,True,False,UP,RIGHT
'\'(325-370]\'','\'(190-235]\'',UP,LEFT,True,False,True,True,RIGHT,RIGHT
'\'(280-325]\'','\'(-inf-55]\'',UP,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(235-280]\'','\'(145-190]\'',UP,RIGHT,False,True,True,True,LEFT,LEFT
'\'(415-inf)\'','\'(325-370]\'',DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(190-235]\'','\'(325-370]\'',UP,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(100-145]\'','\'(55-100]\'',UP,LEFT,True,True,False,True,DOWN,DOWN
'\'(280-325]\'','\'(100-145]\'',UP,LEFT,True,True,True,False,UP,LEFT
'\'(55-100]\'','\'(145-190]\'',DOWN,EQUAL,True,True,False,True,DOWN,DOWN
'\'(325-370]\'','\'(415-inf)\'',DOWN,LEFT,True,True,False,True,DOWN,DOWN
'\'(-inf-55]\'','\'(325-370]\'',DOWN,LEFT,True,True,False,True,DOWN,DOWN
'\'(-inf-55]\'','\'(415-inf)\'',DOWN,LEFT,False,True,True,True,LEFT,LEFT
'\'(415-inf)\'','\'(-inf-55]\'',DOWN,RIGHT,True,False,False,True,RIGHT,RIGHT
'\'(235-280]\'','\'(145-190]\'',UP,LEFT,True,True,False,True,DOWN,LEFT
'\'(370-415]\'','\'(55-100]\'',DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(100-145]\'','\'(55-100]\'',UP,LEFT,False,True,True,True,LEFT,LEFT
'\'(370-415]\'','\'(-inf-55]\'',EQUAL,RIGHT,True,True,True,False,UP,UP
'\'(145-190]\'','\'(325-370]\'',DOWN,EQUAL,True,True,False,True,DOWN,DOWN
'\'(280-325]\'','\'(100-145]\'',DOWN,RIGHT,True,True,True,False,UP,RIGHT
'\'(370-415]\'','\'(145-190]\'',UP,LEFT,True,True,False,True,DOWN,DOWN
'\'(415-inf)\'','\'(-inf-55]\'',UP,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(-inf-55]\'','\'(370-415]\'',DOWN,RIGHT,True,True,False,True,DOWN,DOWN
'\'(235-280]\'','\'(190-235]\'',UP,LEFT,False,True,True,True,LEFT,LEFT
'\'(235-280]\'','\'(190-235]\'',UP,EQUAL,True,True,True,False,UP,UP
'\'(415-inf)\'','\'(235-280]\'',DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(100-145]\'','\'(-inf-55]\'',UP,LEFT,True,True,True,False,UP,UP
'\'(-inf-55]\'','\'(325-370]\'',EQUAL,LEFT,False,True,True,True,LEFT,LEFT
'\'(55-100]\'','\'(-inf-55]\'',UP,LEFT,False,True,True,True,LEFT,LEFT
'\'(235-280]\'','\'(145-190]\'',UP,RIGHT,True,True,False,True,DOWN,RIGHT
'\'(-inf-55]\'','\'(235-280]\'',DOWN,LEFT,True,True,False,True,DOWN,DOWN
'\'(145-190]\'','\'(325-370]\'',DOWN,EQUAL,True,True,False,True,DOWN,DOWN
'\'(370-415]\'','\'(235-280]\'',UP,RIGHT,False,True,True,True,LEFT,LEFT
'\'(415-inf)\'','\'(415-inf)\'',DOWN,RIGHT,True,True,False,True,DOWN,DOWN
'\'(190-235]\'','\'(55-100]\'',EQUAL,RIGHT,True,True,False,True,DOWN,RIGHT
'\'(-inf-55]\'','\'(235-280]\'',UP,LEFT,False,True,True,True,LEFT,LEFT
'\'(55-100]\'','\'(-inf-55]\'',UP,RIGHT,True,True,True,False,UP,UP
'\'(370-415]\'','\'(235-280]\'',UP,LEFT,True,True,False,True,DOWN,DOWN
'\'(325-370]\'','\'(325-370]\'',EQUAL,EQUAL,True,True,False,True,DOWN,DOWN
'\'(370-415]\'','\'(55-100]\'',DOWN,EQUAL,True,True,False,True,DOWN,DOWN
'\'(55-100]\'','\'(-inf-55]\'',UP,LEFT,True,True,False,True,DOWN,DOWN
'\'(415-inf)\'','\'(280-325]\'',DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
'\'(190-235]\'','\'(325-370]\'',UP,RIGHT,True,False,True,True,RIGHT,RIGHT
