@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-2,7-8,13-14'

@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
120,50,UP,LEFT,True,True,True,False,UP,UP
390,80,UP,RIGHT,True,True,True,False,UP,UP
270,380,UP,EQUAL,True,True,True,False,UP,UP
310,120,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
400,20,UP,RIGHT,True,True,True,False,UP,UP
130,70,UP,RIGHT,True,True,True,False,UP,UP
450,270,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
100,50,UP,LEFT,False,True,True,True,LEFT,LEFT
380,200,UP,EQUAL,True,True,True,False,UP,UP
180,80,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
280,160,DOWN,RIGHT,True,True,True,False,UP,UP
30,410,DOWN,LEFT,True,True,True,False,UP,UP
400,20,UP,RIGHT,True,True,True,False,UP,UP
390,170,EQUAL,LEFT,True,True,False,True,DOWN,DOWN
400,20,UP,RIGHT,True,True,True,False,UP,UP
210,440,DOWN,RIGHT,True,True,True,False,UP,UP
40,400,DOWN,LEFT,False,True,True,True,LEFT,LEFT
180,80,DOWN,RIGHT,False,True,True,True,LEFT,DOWN
270,380,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
460,20,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
130,70,UP,EQUAL,True,True,True,False,UP,UP
390,260,UP,RIGHT,True,True,True,False,UP,RIGHT
370,230,UP,LEFT,True,False,True,True,RIGHT,RIGHT
290,50,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
280,160,UP,RIGHT,False,True,True,True,LEFT,LEFT
440,370,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
220,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
120,80,UP,LEFT,True,True,False,True,DOWN,DOWN
310,120,UP,LEFT,True,True,True,False,UP,LEFT
60,180,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
360,430,DOWN,LEFT,True,True,False,True,DOWN,DOWN
20,330,DOWN,LEFT,True,True,False,True,DOWN,DOWN
30,440,DOWN,LEFT,False,True,True,True,LEFT,LEFT
420,20,DOWN,RIGHT,True,False,False,True,RIGHT,RIGHT
280,160,UP,LEFT,True,True,False,True,DOWN,LEFT
390,80,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
120,70,UP,LEFT,False,True,True,True,LEFT,LEFT
400,20,EQUAL,RIGHT,True,True,True,False,UP,UP
180,360,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
310,120,DOWN,RIGHT,True,True,True,False,UP,RIGHT
390,170,UP,LEFT,True,True,False,True,DOWN,DOWN
460,20,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
30,410,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
280,210,UP,LEFT,False,True,True,True,LEFT,LEFT
280,210,UP,EQUAL,True,True,True,False,UP,UP
450,270,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
120,50,UP,LEFT,True,True,True,False,UP,UP
20,330,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
100,50,UP,LEFT,False,True,True,True,LEFT,LEFT
260,150,UP,RIGHT,True,True,False,True,DOWN,RIGHT
50,250,DOWN,LEFT,True,True,False,True,DOWN,DOWN
180,360,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
390,260,UP,RIGHT,False,True,True,True,LEFT,LEFT
460,440,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
220,70,EQUAL,RIGHT,True,True,False,True,DOWN,RIGHT
50,250,UP,LEFT,False,True,True,True,LEFT,LEFT
100,10,UP,RIGHT,True,True,True,False,UP,UP
390,260,UP,LEFT,True,True,False,True,DOWN,DOWN
370,330,EQUAL,EQUAL,True,True,False,True,DOWN,DOWN
390,80,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
100,10,UP,LEFT,True,True,False,True,DOWN,DOWN
430,320,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
220,360,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
180,280,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
60,180,DOWN,LEFT,False,True,True,True,LEFT,LEFT
100,370,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
460,190,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
370,230,DOWN,LEFT,True,True,True,False,UP,UP
460,190,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
40,240,DOWN,LEFT,True,True,True,False,UP,LEFT
100,10,UP,RIGHT,True,True,True,False,UP,UP
170,100,UP,RIGHT,True,True,False,True,DOWN,DOWN
460,440,DOWN,RIGHT,True,False,True,True,RIGHT,DOWN
280,450,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
20,330,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
460,440,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
440,370,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
310,120,DOWN,EQUAL,True,False,False,True,DOWN,DOWN
10,110,EQUAL,LEFT,True,True,False,True,DOWN,DOWN
10,460,DOWN,LEFT,False,True,True,True,LEFT,LEFT
210,440,UP,EQUAL,False,True,True,True,LEFT,LEFT
460,190,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
260,150,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
290,50,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
30,410,DOWN,LEFT,False,True,True,True,LEFT,LEFT
10,460,DOWN,LEFT,False,True,True,True,LEFT,LEFT
150,260,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
270,120,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
40,240,DOWN,LEFT,False,True,True,True,LEFT,DOWN
390,170,EQUAL,EQUAL,True,False,False,True,DOWN,DOWN
110,440,DOWN,RIGHT,True,True,False,True,DOWN,RIGHT
460,190,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
260,150,UP,RIGHT,True,True,True,False,UP,UP
180,280,EQUAL,LEFT,True,True,True,False,UP,LEFT
40,210,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
270,380,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
10,460,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
390,80,UP,RIGHT,True,True,True,False,UP,UP
220,70,EQUAL,RIGHT,True,False,True,True,RIGHT,RIGHT
40,400,DOWN,LEFT,True,True,True,False,UP,UP
280,160,EQUAL,RIGHT,True,True,False,False,DOWN,RIGHT
130,70,UP,EQUAL,True,True,True,False,UP,UP
40,210,UP,LEFT,True,False,True,True,RIGHT,RIGHT
120,80,EQUAL,EQUAL,True,False,True,True,RIGHT,RIGHT
150,260,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
130,10,UP,RIGHT,True,True,False,True,DOWN,DOWN
30,440,DOWN,LEFT,True,True,False,True,DOWN,DOWN
150,260,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
280,160,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
10,110,DOWN,LEFT,False,True,True,True,LEFT,LEFT
130,10,DOWN,LEFT,False,True,False,True,LEFT,LEFT
130,70,UP,RIGHT,True,True,True,False,UP,UP
100,10,UP,LEFT,True,True,True,False,UP,UP
400,20,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
370,230,DOWN,EQUAL,False,True,True,True,LEFT,LEFT
280,160,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
40,400,DOWN,LEFT,False,True,True,True,LEFT,LEFT
40,240,DOWN,LEFT,False,True,True,True,LEFT,LEFT
80,410,DOWN,LEFT,True,True,False,True,DOWN,LEFT
390,80,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
290,50,UP,RIGHT,True,False,True,True,RIGHT,RIGHT
40,240,DOWN,LEFT,False,True,True,True,LEFT,LEFT
160,420,DOWN,RIGHT,True,True,False,True,DOWN,DOWN
370,230,UP,LEFT,True,False,True,True,RIGHT,RIGHT
460,20,UP,RIGHT,True,True,True,False,UP,UP
30,440,DOWN,LEFT,False,True,True,True,LEFT,LEFT
180,360,DOWN,EQUAL,True,True,False,True,DOWN,DOWN
450,270,DOWN,RIGHT,True,False,True,True,RIGHT,RIGHT
30,410,DOWN,LEFT,False,True,True,True,LEFT,LEFT
100,370,EQUAL,LEFT,False,True,True,True,LEFT,LEFT
