@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-4,8,13'

@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
UP,LEFT,240,True,True,True,False,False,UP,UP
UP,RIGHT,370,True,True,True,False,False,UP,UP
UP,EQUAL,50,True,True,True,False,False,UP,UP
UP,RIGHT,350,True,False,True,True,True,RIGHT,RIGHT
UP,RIGHT,490,True,True,True,False,False,UP,UP
UP,RIGHT,200,True,True,True,False,False,UP,UP
DOWN,RIGHT,80,True,True,False,True,False,DOWN,DOWN
UP,LEFT,540,False,True,True,True,False,LEFT,LEFT
UP,EQUAL,230,True,True,True,False,True,UP,UP
EQUAL,RIGHT,10,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,270,True,True,True,False,False,UP,UP
DOWN,LEFT,270,True,True,True,False,False,UP,UP
UP,RIGHT,430,True,True,True,False,False,UP,UP
EQUAL,LEFT,10,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,410,True,True,True,False,False,UP,UP
DOWN,RIGHT,250,True,True,True,False,False,UP,UP
DOWN,LEFT,450,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,180,False,True,True,True,False,LEFT,DOWN
UP,RIGHT,150,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,150,True,False,True,True,False,RIGHT,RIGHT
UP,EQUAL,20,True,True,True,False,False,UP,UP
UP,RIGHT,190,True,True,True,False,True,UP,RIGHT
UP,LEFT,30,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,480,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,50,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,170,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,120,True,False,True,True,False,RIGHT,RIGHT
UP,LEFT,480,True,True,False,True,False,DOWN,DOWN
UP,LEFT,40,True,True,True,False,False,UP,LEFT
DOWN,EQUAL,80,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,260,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,420,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,400,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,280,True,False,False,True,False,RIGHT,RIGHT
UP,LEFT,20,True,True,False,True,False,DOWN,LEFT
DOWN,RIGHT,50,True,False,True,True,False,RIGHT,RIGHT
UP,LEFT,60,False,True,True,True,False,LEFT,LEFT
EQUAL,RIGHT,210,True,True,True,False,False,UP,UP
DOWN,EQUAL,140,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,80,True,True,True,False,False,UP,RIGHT
UP,LEFT,40,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,240,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,80,True,True,False,True,False,DOWN,DOWN
UP,LEFT,190,False,True,True,True,False,LEFT,LEFT
UP,EQUAL,30,True,True,True,False,False,UP,UP
DOWN,RIGHT,250,True,False,True,True,False,RIGHT,RIGHT
UP,LEFT,210,True,True,True,False,False,UP,UP
EQUAL,LEFT,180,False,True,True,True,False,LEFT,LEFT
UP,LEFT,450,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,270,True,True,False,True,False,DOWN,RIGHT
DOWN,LEFT,290,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,150,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,260,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,90,True,True,False,True,False,DOWN,DOWN
EQUAL,RIGHT,160,True,True,False,True,False,DOWN,RIGHT
UP,LEFT,130,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,300,True,True,True,False,False,UP,UP
UP,LEFT,190,True,True,False,True,False,DOWN,DOWN
EQUAL,EQUAL,100,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,10,True,True,False,True,False,DOWN,DOWN
UP,LEFT,30,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,240,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,90,True,False,True,True,False,RIGHT,RIGHT
EQUAL,LEFT,140,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,170,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,210,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,200,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,150,True,True,True,False,False,UP,UP
UP,RIGHT,60,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,400,True,True,True,False,False,UP,LEFT
UP,RIGHT,160,True,True,True,False,False,UP,UP
UP,RIGHT,60,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,260,True,False,True,True,False,RIGHT,DOWN
EQUAL,LEFT,20,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,90,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,490,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,100,True,False,True,True,False,RIGHT,RIGHT
DOWN,EQUAL,20,True,False,False,True,True,DOWN,DOWN
EQUAL,LEFT,10,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,220,False,True,True,True,False,LEFT,LEFT
UP,EQUAL,10,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,180,True,False,True,True,False,RIGHT,RIGHT
EQUAL,RIGHT,10,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,320,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,290,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,300,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,40,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,70,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,70,False,True,True,True,False,LEFT,DOWN
EQUAL,EQUAL,130,True,False,False,True,True,DOWN,DOWN
DOWN,RIGHT,160,True,True,False,True,False,DOWN,RIGHT
UP,RIGHT,160,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,130,True,True,True,False,False,UP,UP
EQUAL,LEFT,170,True,True,True,False,False,UP,LEFT
EQUAL,LEFT,220,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,120,True,False,True,True,False,RIGHT,RIGHT
DOWN,EQUAL,20,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,460,True,True,True,False,False,UP,UP
EQUAL,RIGHT,80,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,530,True,True,True,False,False,UP,UP
EQUAL,RIGHT,50,True,True,False,False,False,DOWN,RIGHT
