@relation snake_game

@attribute snake_pos_x NUMERIC
@attribute snake_pos_y NUMERIC
@attribute snake_pos_x_next NUMERIC
@attribute snake_pos_y_next NUMERIC
@attribute food_pos_x NUMERIC
@attribute food_pos_y NUMERIC
@attribute food_side_y {UP, DOWN, EQUAL}
@attribute food_side_x {RIGHT, LEFT, EQUAL}
@attribute manhattan_distance NUMERIC
@attribute next_manhattan_distance NUMERIC
@attribute large_snake NUMERIC
@attribute right_safe {True, False}
@attribute left_safe {True, False}
@attribute up_safe {True, False}
@attribute down_safe {True, False}
@attribute cycle {True, False}
@attribute body_indirection {True, False}
@attribute previous_direction {UP, DOWN, LEFT, RIGHT}
@attribute direction {UP, DOWN, LEFT, RIGHT}
@attribute score NUMERIC
@attribute next_score NUMERIC

@data
110,50,120,50,360,270,DOWN,RIGHT,470,460,3,True,False,True,True,False,False,RIGHT,RIGHT,-1,-2
110,50,120,50,360,270,DOWN,RIGHT,470,460,3,True,False,True,True,False,False,RIGHT,RIGHT,-1,-2
120,50,130,50,360,270,DOWN,RIGHT,460,450,3,True,False,True,True,False,False,RIGHT,RIGHT,-2,-3
120,50,130,50,360,270,DOWN,RIGHT,460,450,3,True,False,True,True,False,False,RIGHT,RIGHT,-2,-3
130,50,140,50,360,270,DOWN,RIGHT,450,440,3,True,False,True,True,False,False,RIGHT,RIGHT,-3,-4
130,50,140,50,360,270,DOWN,RIGHT,450,440,3,True,False,True,True,False,False,RIGHT,RIGHT,-3,-4
140,50,150,50,360,270,DOWN,RIGHT,440,430,3,True,False,True,True,False,False,RIGHT,RIGHT,-4,-5
140,50,150,50,360,270,DOWN,RIGHT,440,430,3,True,False,True,True,False,False,RIGHT,RIGHT,-4,-5
150,50,160,50,360,270,DOWN,RIGHT,430,420,3,True,False,True,True,False,False,RIGHT,RIGHT,-5,-6
150,50,160,50,360,270,DOWN,RIGHT,430,420,3,True,False,True,True,False,False,RIGHT,RIGHT,-5,-6
160,50,170,50,360,270,DOWN,RIGHT,420,410,3,True,False,True,True,False,False,RIGHT,RIGHT,-6,-7
160,50,170,50,360,270,DOWN,RIGHT,420,410,3,True,False,True,True,False,False,RIGHT,RIGHT,-6,-7
